question,argument,type,id
"Affirmative Action: Useful Once, Outdated Today?",It is time to end affirmative action in college admissions.,binary,774
"Affirmative Action: Useful Once, Outdated Today?","Affirmative action in college admissions, despite its age, remains a necessity in today's society.",binary,774
"Should society work towards becoming ""colorblind"" in regards to race/ethnicity?","Society should work towards becoming ""colorblind"" with regard to race.",binary,775
"Should society work towards becoming ""colorblind"" in regards to race/ethnicity?","Society should not strive to become ""colorblind"" in regards to race or ethnicity.",binary,775
Is Jesus the Messiah?,Jesus is the promised Messiah of the ancient Hebrew religion.,binary,776
Is Jesus the Messiah?,Jesus is not the Messiah of the ancient Hebrew religion.,binary,776
Who is the greatest rapper alive today?,Game is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Eminen is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Lil Wayne is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Nas is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Snoop is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Dre is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Kendrick Lamar is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Jay-Z is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Ludacris is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Ice Cube is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,T.I. is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,L.L.Cool J. is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Meek Mill is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,DMX is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Easy-E is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Ghostface Killah is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Common is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,KRS-One is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Andre 3000 is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Lauryn Hill is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Rashida is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Rakim is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Drake is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Logic is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Childish Gambino is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Young Thug is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,YG is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Gunna is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,2Chainz is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Nikki Minaj is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Tyga is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Gucci Mane is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Lil Nas X is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Cardi B is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Jay Rock is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Machine Gun Kelly is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Fred Durst is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Immortal Technique is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Killer Mike is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Krayzie Bone is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Kanye West is the greatest rapper alive today.,multi,777
Who is the greatest rapper alive today?,Yeat is the greatest rapper alive today.,multi,777
Are arranged marriages better than love marriages?,Arranged marriages are better than love marriages.,binary,778
Are arranged marriages better than love marriages?,Love marriages are better than arranged marriages.,binary,778
Did the Exodus Really Happen?,There is substantial historical evidence that supports the occurrence of the Exodus.,binary,779
Did the Exodus Really Happen?,There is no historical evidence of Exodus happening.,binary,779
Quem deve ser eleito Presidente do Brasil em 2022?,Bolsonaro deve ser eleito Presidente do Brasil em 2022.,multi,780
Quem deve ser eleito Presidente do Brasil em 2022?,Lula deve ser eleito Presidente do Brasil em 2022.,multi,780
Quem deve ser eleito Presidente do Brasil em 2022?,Vou votar NULO para a eleição presidencial do Brasil em 2022.,multi,780
Quem deve ser eleito Presidente do Brasil em 2022?,Vou votar em branco para a eleição presidencial do Brasil em 2022.,multi,780
Quem deve ser eleito Presidente do Brasil em 2022?,Não vou votar na eleição presidencial do Brasil em 2022.,multi,780
Is there an afterlife?,There is an afterlife.,binary,781
Is there an afterlife?,There is no afterlife.,binary,781
What is the meaning of life?,The meaning of life is Life is meaningless.,multi,782
What is the meaning of life?,The meaning of life is There is a clear meaning.,multi,782
What is the meaning of life?,"The meaning of life is a mixture of subjective personal values and clear meanings that can be inferred from human physiology, life's intrinsic purposes and the necessities of actualized persistence of humanity.",multi,782
Open source: the best way to develop software?,Open source is the best way to develop software.,binary,783
Open source: the best way to develop software?,Open source is not the best way to develop software.,binary,783
Multipolar World Order,A multipolar world order is preferable to a unipolar world order.,binary,784
Multipolar World Order,A unipolar world order is preferable to a multipolar world order.,binary,784
Should there be a upper age limit for voting?,There should be an upper age limit for voting.,binary,785
Should there be a upper age limit for voting?,There should not be an upper age limit for voting.,binary,785
Which Harry Potter character would you bring back?,I would bring back James Potter from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Lily Potter from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Professor Severus Snape from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Professor Albus Dumbledore from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Fred Weasley from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Tonks from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Sirius Black from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Aragog the spider from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Hedwig from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Dobby from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Remus Lupin from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back The Creevy Brothers from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Mrs. Lovegood from Harry Potter.,multi,786
Which Harry Potter character would you bring back?,I would bring back Luna's mother from Harry Potter.,multi,786
Small D*ck Energy: Is it body shaming or a justified call-out?,The expression 'Small Dick Energy' is body shaming.,binary,787
Small D*ck Energy: Is it body shaming or a justified call-out?,"The expression 'Small Dick Energy' is a justified call-out, not body shaming.",binary,787
Should you give a partner that cheated a second chance?,There's a saying that a cheater will always be a cheater. But don't all human make mistakes. So I believe everyone deserves a second chance.,binary,788
Should you give a partner that cheated a second chance?,"Regardless of the common saying that everyone makes mistakes, I strongly believe that cheating is an unforgivable breach of trust. Therefore, I am of the opinion that a partner who cheats does not deserve a second chance.",binary,788
Should private schools be banned?,Private schools should be banned.,binary,789
Should private schools be banned?,Private schools should not be banned.,binary,789
"Media and cultural bias that people are watching ""too much TV"" or that it is a ""waste of time"" is incorrect & unhelpful",TV has more of a positive influence on life than negative.,binary,790
"Media and cultural bias that people are watching ""too much TV"" or that it is a ""waste of time"" is incorrect & unhelpful",TV indeed results in people wasting valuable time and contributes to spreading cultural bias in the media.,binary,790
"In a committed relationship, what constitutes infidelity?","In a committed relationship, thinking about anybody besides your partner sexually constitutes cheating.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, masturbation is considered an act of unfaithfulness.",multi,791
"In a committed relationship, what constitutes infidelity?","In a committed relationship, going out on a date with anyone but your significant other is considered infidelity.",multi,791
